model,split,node,n_predictions,rmse,mae
arima,test,iv_x14_t17,422,0.0161228654114731,0.0110642426976139
arima,test,iv_x14_t18,278,0.014161119937536,0.0098906805780017
arima,test,iv_x14_t19,23,0.023046288916986,0.0168157991851683
arima,test,iv_x15_t01,422,0.0094726306445291,0.0065832426682922
arima,test,iv_x15_t02,422,0.0096181131959324,0.0068892460080077
arima,test,iv_x15_t03,422,0.0108612088694103,0.0075210018408265
arima,test,iv_x15_t04,422,0.0108403820274761,0.0079003836787352
arima,test,iv_x15_t05,422,0.011532155739095,0.0083127524342821
arima,test,iv_x15_t06,422,0.0142835870635136,0.0099573064096825
arima,test,iv_x15_t07,422,0.0129448681466621,0.0090568301803406
arima,test,iv_x15_t08,422,0.013947723787113,0.0095950275386756
arima,test,iv_x15_t09,422,0.0103077638711398,0.0072234081457772
arima,test,iv_x15_t10,422,0.0111547069414942,0.0076004727173241
arima,test,iv_x15_t11,422,0.0125753552609715,0.0084287994275882
arima,test,iv_x15_t12,422,0.0127999383493222,0.0082998427544739
arima,test,iv_x15_t13,422,0.0126422915420929,0.0083512982022601
arima,test,iv_x15_t14,422,0.0142778196742391,0.0095211185832522
arima,test,iv_x15_t15,422,0.0141697286518792,0.0095399459203889
arima,test,iv_x15_t16,422,0.0153119888288766,0.0098927488840639
arima,test,iv_x15_t17,422,0.0163084098999028,0.0115456103557661
arima,test,iv_x15_t18,278,0.0156135500100211,0.0095506370960569
arima,test,iv_x15_t19,23,0.0344835104947654,0.0261597827714385
arima,test,iv_x16_t01,422,0.0081410265844717,0.0056066175053874
arima,test,iv_x16_t02,422,0.0086726708611806,0.0062689291167379
arima,test,iv_x16_t03,422,0.0101953459522392,0.007122604622368
arima,test,iv_x16_t04,422,0.0104345346325779,0.007553519857043
arima,test,iv_x16_t05,422,0.0110826863737368,0.0081927893865838
arima,test,iv_x16_t06,422,0.0121212341928471,0.0090583779828502
arima,test,iv_x16_t07,422,0.0123481184019335,0.0091102113002673
arima,test,iv_x16_t08,422,0.0129387220434355,0.0094529432688011
arima,test,iv_x16_t09,422,0.0127846490131858,0.0089386181517781
arima,test,iv_x16_t10,422,0.0124268288222249,0.0087987949968157
arima,test,iv_x16_t11,422,0.0134656831052154,0.0095007314691681
arima,test,iv_x16_t12,422,0.0143109822126167,0.0096474593442936
arima,test,iv_x16_t13,422,0.0150617159885483,0.010507837028698
arima,test,iv_x16_t14,422,0.0161174416892276,0.0108947926169993
arima,test,iv_x16_t15,422,0.0159456703959787,0.010644977171036
arima,test,iv_x16_t16,422,0.0162260223819872,0.0105172321225397
arima,test,iv_x16_t17,422,0.017461637087357,0.0113465448127469
arima,test,iv_x16_t18,278,0.0155779742286504,0.009731427874983
arima,test,iv_x16_t19,23,0.0362338696785959,0.0294177277441506
arima,test,iv_x17_t01,422,0.0069813638986773,0.0047187005604726
arima,test,iv_x17_t02,422,0.0077355055747594,0.0054381140804795
arima,test,iv_x17_t03,422,0.0086337720357922,0.0062729307296034
arima,test,iv_x17_t04,422,0.0088565137920756,0.0065800155222206
arima,test,iv_x17_t05,422,0.0094933130499428,0.0071958933566959
arima,test,iv_x17_t06,422,0.0103507330157824,0.0078386187333131
arima,test,iv_x17_t07,422,0.0114748239460841,0.0086394790168288
arima,test,iv_x17_t08,422,0.0124267845388155,0.0092170130505543
arima,test,iv_x17_t09,422,0.0128029577924162,0.009277354038152
arima,test,iv_x17_t10,422,0.0130920478060609,0.0092744619681538
arima,test,iv_x17_t11,422,0.0139198990180521,0.009756053196811
arima,test,iv_x17_t12,422,0.0155914103762957,0.0106986726368735
arima,test,iv_x17_t13,422,0.0167059619304904,0.0111669872817351
arima,test,iv_x17_t14,422,0.0162988513553137,0.0111308314216343
arima,test,iv_x17_t15,422,0.0174985041033266,0.0117142769096715
arima,test,iv_x17_t16,422,0.0189773928459094,0.0129751548391285
arima,test,iv_x17_t17,422,0.0188443248523048,0.0132482387246694
arima,test,iv_x17_t18,278,0.014354111619418,0.0097845080997809
arima,test,iv_x17_t19,23,0.0314203261780508,0.0234250782360683
arima,test,iv_x18_t01,422,0.0059854057765798,0.0041079105546468
arima,test,iv_x18_t02,422,0.0068518997127226,0.0047731292625719
arima,test,iv_x18_t03,422,0.0070261590097678,0.0052180425383359
arima,test,iv_x18_t04,422,0.0076228045113393,0.0058023650494167
arima,test,iv_x18_t05,422,0.0085576433421756,0.0064984866503324
arima,test,iv_x18_t06,422,0.0091494248596376,0.0069122093271747
arima,test,iv_x18_t07,422,0.0101119762102403,0.0078123388556963
arima,test,iv_x18_t08,422,0.0108097451028183,0.0081780698183177
arima,test,iv_x18_t09,422,0.0114859660703327,0.0086472696394339
arima,test,iv_x18_t10,422,0.012076360007053,0.008938529715555
arima,test,iv_x18_t11,422,0.0138585707073916,0.0098967998110978
arima,test,iv_x18_t12,422,0.0152910306803108,0.0106480862578446
arima,test,iv_x18_t13,422,0.0151426796758884,0.0106013803496107
arima,test,iv_x18_t14,422,0.0142526323446314,0.0101803800452834
arima,test,iv_x18_t15,422,0.0155171719674278,0.0110309549118981
arima,test,iv_x18_t16,422,0.0169517825255055,0.0120245869969125
arima,test,iv_x18_t17,420,0.0180396920667494,0.0133590531844643
arima,test,iv_x18_t18,278,0.015083428668226,0.0106057760683786
arima,test,iv_x18_t19,23,0.0323504351259317,0.0271187441101298
arima,test,iv_x19_t01,393,0.0060219457513515,0.0041388861882143
arima,test,iv_x19_t02,422,0.0060079370625155,0.0043261745969066
arima,test,iv_x19_t03,422,0.0061601676100448,0.0045321584130126
arima,test,iv_x19_t04,422,0.0068200476772529,0.0051641073737752
arima,test,iv_x19_t05,422,0.0074298773107391,0.0057108357840401
arima,test,iv_x19_t06,422,0.0079875354931722,0.006139893849268
arima,test,iv_x19_t07,422,0.0087828972847692,0.0067434208772819
arima,test,iv_x19_t08,422,0.00989159087031,0.0075973427212276
arima,test,iv_x19_t09,422,0.0104646095736471,0.0080600255461761
arima,test,iv_x19_t10,422,0.0110249954095261,0.0084327468185572
arima,test,iv_x19_t11,422,0.0127324404738285,0.0093720538859391
arima,test,iv_x19_t12,422,0.013580547642251,0.0099249495577603
arima,test,iv_x19_t13,422,0.0133324346176813,0.0098236351323191
arima,test,iv_x19_t14,422,0.0144559040421886,0.01037813175097
arima,test,iv_x19_t15,422,0.0146762576554602,0.0109048764300448
arima,test,iv_x19_t16,422,0.0157289079333544,0.0115400401356213
arima,test,iv_x19_t17,420,0.0172720092995408,0.0125246368579816
arima,test,iv_x19_t18,276,0.0169706124427751,0.0115446386293725
arima,test,iv_x20_t01,251,0.0119339995153925,0.0077221806404958
arima,test,iv_x20_t02,409,0.0055255334213627,0.0040340584654852
arima,test,iv_x20_t03,422,0.0054815562712729,0.004071043659758
arima,test,iv_x20_t04,422,0.0060042687861591,0.004535764603045
arima,test,iv_x20_t05,422,0.0065415662458636,0.0050327578180835
arima,test,iv_x20_t06,422,0.0073101464403342,0.0055702485786244
arima,test,iv_x20_t07,422,0.0079933604399192,0.0061573322767027
arima,test,iv_x20_t08,422,0.0085856019696879,0.0066180220586853
arima,test,iv_x20_t09,422,0.0092911840710576,0.0072467015816918
arima,test,iv_x20_t10,422,0.0098378022054435,0.0076071388075945
arima,test,iv_x20_t11,422,0.0107346731304381,0.008147106686703
arima,test,iv_x20_t12,422,0.0114975558018763,0.0086978297236725
arima,test,iv_x20_t13,422,0.0121946208756053,0.0092460387167744
arima,test,iv_x20_t14,422,0.0127686599963739,0.0096886087677293
arima,test,iv_x20_t15,422,0.0132820289702701,0.0100264762313547
arima,test,iv_x20_t16,422,0.0140466739929552,0.0105592707463441
arima,test,iv_x20_t17,415,0.0146624880237931,0.0109195987466067
arima,test,iv_x20_t18,273,0.0145336882395291,0.0105701464298549
arima,test,iv_x21_t01,119,0.0200575769967315,0.0148945033629538
arima,test,iv_x21_t02,310,0.0108746207642835,0.0075789367425326
